7:302,616,58,29,8,518,650,76,542,15
18:518,8,17,32,54038,650,654,1086,616,1578
19:19480,59083,5145,2048,4600,13894,26191,9497,13192,43956
36:17,616,654,518,8,58,542,15,84,70
37:17,103,1382,616,8,654,15,1126,61,542
41:17,302,616,58,654,542,15,101,564,61
42:17,518,302,84,654,58,542,15,76,564
43:17,302,76,616,564,654,58,8,1678,14906
44:542,616,15,302,564,518,61,8,1196,861
45:347,1382,947,378,2030,119,2162,53818,31315,753636
46:302,58,8,616,15,542,245,564,650,61
59:616,15,654,58,245,32,508,542,564,29
60:302,616,58,29,8,84,650,15,542,518
69:302,58,654,32,61,29,650,861,4268,564
70:76,654,302,74624,38142,84,616,650,58,698
94:17,1405,616,302,654,119,32,58,564,364
106:518,15,8,84,61,29,554,32,101,162
115:58,8,518,15,29,289,61,861,902,245
116:17,76,654,226,302,70,508,616,542,564
142:58,8,84,861,29,61,32,364,81,554
143:86747,49245,616,898,1456,10043,2429,16523,1357,7841
148:17,616,8,654,70,302,542,564,518,76
150:564,17,302,654,8,29,650,542,15,61
156:8,616,302,58,542,84,245,61,1102,650
161:84,616,542,15,101,650,564,76,138,289
171:302,518,8,84,15,650,61,6,101,76
172:58,654,542,8,564,518,861,76,84,285
174:431,873,8,518,654,245,11194,3233,117,1208
177:17,654,616,58,542,15,29,8,518,650
196:616,650,542,29,15,564,61,76,354,101
202:302,518,542,58,8,15,245,32,902,138
211:1131,815,17,12160,7794,67519,63094,21276,103,564
217:17,518,245,654,84,8,616,15,1102,1405
220:22713,186,1342,39446,7649,10178,7478,64973,2097,13192
223:616,654,302,518,58,8,650,245,564,76
224:4797,353,1951,518,17,245,8,654,84,601
225:302,616,654,542,518,8,58,15,61,84
228:17,650,302,616,568,654,58,76,29,542
229:58,15,518,84,6,245,861,61,32,101
231:654,616,302,518,861,542,15,58,61,76
232:55056,69488,87726,102080,118389,41443,63448,20596,91733,113712
238:441,4513,3618,1744,710,17,245,4421,42397,9055
241:616,58,542,650,861,84,29,1196,15,76
245:81,16786,3939,3137,5767,780,9790,613,3718,262
249:17,654,302,518,8,616,15,94,542,61
250:616,654,302,84,542,518,58,8,285,564
253:17,1527,508,189,6434,4825,168,3107,8848,616
257:17,542,15,861,84,62,1196,245,285,1102
272:8,654,518,58,616,1102,29,542,650,354
273:17,302,654,650,76,15,101,736,32,554
288:17,616,58,15,650,76,61,1196,84,364
290:17,138,76,302,616,654,564,13501,101,650
291:16625,61628,15989,23,518,17,26721,10511,1050,10384
292:654,616,58,542,76,564,289,70,61,245
294:17,8,302,1102,542,15,508,353,564,289
328:319,302,2514,4252,9909,5947,3432,45517,245,29900
331:17,654,58,302,616,542,650,15,8,518
345:11401,29573,62840,77581,385,1754,5726,45975,11281,805
361:616,58,8,1196,518,650,15,736,29,364
376:17,58,302,616,29,84,8,542,285,6
384:17,616,654,302,542,8,518,15,650,564
401:616,58,542,245,899,1102,650,32,364,508
402:654,302,542,15,8,84,518,61,1102,162
410:4755,76,2880,10041,984,17,463,508,8860,4825
448:616,302,654,8,518,58,542,15,76,245
449:17,302,616,654,58,8,518,15,70,226
450:654,15,302,138,76,29,245,84,94,224
452:749,13523,17,508,1549,861,8,302,26234,610
476:245,17,398,8213,616,654,899,47309,15424,71577
488:17,58,542,302,616,518,15,61,564,76
490:17,302,650,76,29,15,32,101,61,289
494:17,58,654,616,542,8,518,15,84,564
500:17,302,654,8,650,58,616,76,564,736
514:17,76,616,719,654,58,302,8,542,62
525:302,616,245,654,70,508,84,58,61,518
535:17,1102,8,29,518,542,650,76,285,861
536:302,654,616,58,542,8,29,6,518,97
538:654,302,616,15,508,58,76,1102,564,101
539:17,654,542,58,518,15,8,564,61,32
